GP_name,quali_pos,constructor,driver,driver_confidence,constructor_relaiblity,season
7,1,12,36,0.9457364341085271,0.8916827852998066,2023
7,2,12,36,0.9457364341085271,0.8916827852998066,2023
7,3,12,36,0.9457364341085271,0.8916827852998066,2023
7,4,12,36,0.9457364341085271,0.8916827852998066,2023
7,5,12,36,0.9457364341085271,0.8916827852998066,2023
7,6,12,36,0.9457364341085271,0.8916827852998066,2023
7,7,12,36,0.9457364341085271,0.8916827852998066,2023
7,8,12,36,0.9457364341085271,0.8916827852998066,2023
7,9,12,36,0.9457364341085271,0.8916827852998066,2023
7,10,12,36,0.9457364341085271,0.8916827852998066,2023
7,11,12,36,0.9457364341085271,0.8916827852998066,2023
7,12,12,36,0.9457364341085271,0.8916827852998066,2023
7,13,12,36,0.9457364341085271,0.8916827852998066,2023
7,14,12,36,0.9457364341085271,0.8916827852998066,2023
7,15,12,36,0.9457364341085271,0.8916827852998066,2023
7,16,12,36,0.9457364341085271,0.8916827852998066,2023
7,17,12,36,0.9457364341085271,0.8916827852998066,2023
7,18,12,36,0.9457364341085271,0.8916827852998066,2023
7,19,12,36,0.9457364341085271,0.8916827852998066,2023
7,20,12,36,0.9457364341085271,0.8916827852998066,2023
7,21,12,36,0.9457364341085271,0.8916827852998066,2023
7,22,12,36,0.9457364341085271,0.8916827852998066,2023
